Iteration,KMC Time,Bucket,monCount_A,monCount_B,seqCount_A,seqCount_B,seqLengths2_A,seqLengths2_B
7,700.000956,25,116016,34007,14254,13992,2004946,120571
7,700.000956,26,112507,37007,14810,14666,1909058,143433
7,700.000956,27,110409,39353,15273,15105,1589051,161400
7,700.000956,28,107103,42653,15690,15441,1538416,181963
7,700.000956,29,104546,40281,23332,17172,1925056,223675
8,800.001189,0,145608,10409,6671,6436,377093,18056
8,800.001189,1,149919,11095,7378,7338,1935575,22153
8,800.001189,2,149123,11811,7733,7736,3634211,24052
8,800.001189,3,149139,12246,7860,7832,4570754,25479
8,800.001189,4,147770,12877,8027,8045,5029979,28235
8,800.001189,5,147777,13216,8318,8189,5548691,27953
8,800.001189,6,148203,13743,8417,8471,5310781,31314
8,800.001189,7,146775,14281,8771,8715,5359988,31717
8,800.001189,8,146036,14914,9052,9004,4987893,34222
8,800.001189,9,144690,15318,9156,9066,5136350,35889
8,800.001189,10,146245,16407,9561,9532,4726129,39360
8,800.001189,11,143282,17089,9811,9759,4461181,41693
8,800.001189,12,143594,18360,10312,10271,4348574,46316
8,800.001189,13,141777,19181,10618,10590,4175626,49178
8,800.001189,14,139620,19484,10722,10626,3777375,51316
8,800.001189,15,141892,21408,11325,11221,3857018,59235
8,800.001189,16,138860,22444,11773,11753,3488582,62480
8,800.001189,17,136569,23736,12051,11935,3343604,68613
8,800.001189,18,136411,25609,12674,12596,3101499,76166
8,800.001189,19,132720,26919,13032,12878,2863880,82637
8,800.001189,20,133223,29135,13630,13518,2830513,94752
8,800.001189,21,130636,30631,13971,13949,2531962,102373
8,800.001189,22,127851,33551,14608,14344,2413302,115932
8,800.001189,23,124438,35859,15180,15011,2185487,128249
8,800.001189,24,122073,39282,15835,15591,2049208,150562
8,800.001189,25,119090,42498,16425,16317,1755854,172780
8,800.001189,26,114994,46074,17081,16770,1612111,197657
8,800.001189,27,110954,50297,17559,17303,1470727,228813
8,800.001189,28,106555,54805,17881,17663,1294586,266179
8,800.001189,29,104334,51988,25190,19701,1557493,335688
9,900.001435,0,155266,11139,7142,6929,449351,19481
9,900.001435,1,159595,11873,7896,7854,2241615,23759
9,900.001435,2,158870,12597,8223,8231,4073811,25588
9,900.001435,3,158496,13263,8487,8380,5008938,27879
9,900.001435,4,157297,13766,8591,8607,5554361,29978
9,900.001435,5,157147,14343,8869,8810,5784339,31762
9,900.001435,6,157652,14749,9116,9102,5660075,32799
9,900.001435,7,155960,15498,9482,9488,5513115,35434
9,900.001435,8,155299,16198,9696,9617,5542060,37393
9,900.001435,9,153417,16932,10021,9957,5133147,40074
9,900.001435,10,155063,18127,10395,10404,4864877,44511
9,900.001435,11,151562,19140,10846,10694,4685990,47319
9,900.001435,12,152201,20231,11233,11172,4478345,51758
9,900.001435,13,150581,20892,11479,11429,4036074,54414
